"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX346.993499755859...1186.40002441406","nX346.993499755859...1186.40002441406",1.60208870676188,1.59039408847231e-10,-3.42652034263263
"pX355.266296386719...954.400024414062","pX355.266296386719...954.400024414062",1.60141818441453,4.13533690252901e-11,-1.51701871229134
"nX335.200500488281...1072.80004882812","nX335.200500488281...1072.80004882812",1.60118653469778,8.06012104965237e-11,-2.36487865983546
"pX224.101089477539...1187.19995117188","pX224.101089477539...1187.19995117188",1.60118151554212,1.42083524466903e-10,-1.52297751199419
"nX278.146789550781...1186.40002441406","nX278.146789550781...1186.40002441406",1.60062981819188,2.59532424482138e-10,-2.50631716940685
"pX167.022598266602...1187.19995117188","pX167.022598266602...1187.19995117188",1.60059707482459,2.32464600209108e-10,-2.31748330685643
"pX223.130599975586...1186.4716796875","pX223.130599975586...1186.4716796875",1.60048353241803,2.12790139723823e-10,-1.5644385668764
"pX179.073791503906...953.600036621094","pX179.073791503906...953.600036621094",1.60010634768463,4.79361241577489e-11,-1.55110956412432
"pX179.035491943359...655.200012207031","pX179.035491943359...655.200012207031",1.59962375444321,4.89505639997232e-11,-2.34789843017828
"nX278.051300048828...1186.40002441406","nX278.051300048828...1186.40002441406",1.59893838647873,2.70405059494645e-10,-2.20521052115619
"pX356.418579101562...953.600036621094","pX356.418579101562...953.600036621094",1.59866468531407,4.42019698055589e-11,-2.92528850128117
